type,set,faction,name,text
Unit,Common,Defiance [Set5],Oni Forgemaster,Renown: Create and draw a +2/+1 weapon.
Unit,The Flame of Xulta [Set7],Fire,Oni Grunt,NONE
Attachment,Weapon,Common,Ornate Katana,Summon: Draw a card.
Attachment,Relic,Legendary,Phoenix Stone,Pay 2 to transform Phoenix Stone into a 4/4 Molten Phoenix.
Spell,Uncommon,The Empty Throne [Set1],Piercing Shot,Deal 2 damage to an enemy unit and 2 damage to the enemy player.
Spell,Uncommon,Defiance [Set5],Plunder,Exhaust one of your units to create and draw two Treasure Troves.
Unit,Common,The Empty Throne [Set1],Pyre Adept,NONE
Unit,Rare,The Fall of Argenport [Set4],Quicktrigger Outlaw,"When you play a weapon on Quicktrigger Outlaw, he deals 1 damage to an enemy. Tribute: Play a +1/+1 weapon on one of your units."
Unit,Uncommon,The Empty Throne [Set1],Rakano Outlaw,"Quickdraw , Warcry"
Spell,Fast Spell,Common,Rampage,Give a unit +3/+1 and Overwhelm this turn.
Attachment,Weapon,Common,Ruination Sledge,Spellcraft 3: Play Ruin.
Unit,Uncommon,Dark Frontier [Set6],Ruins Guide,"When one of your units emerges, Ruins Guide gets + Strength/+ Health this turn equal to that unit's Strength/ Health."
Unit,Legendary,The Fall of Argenport [Set4],Scale Seeker,"Pay 1 and exhaust Scale Seeker to scout. After the third use, sacrifice him to play a 5/5 Dragon with Flying ."
Spell,Fast Spell,Uncommon,Sear,Deal 3 damage.
Unit,Common,The Flame of Xulta [Set7],Shavka Evangel,Berserk Fate: Gain Fire.
Spell,Fast Spell,The Fall of Argenport [Set4],Shugo Tactic,Give a unit +4/+2 and Overwhelm this turn.
Spell,Fast Spell,Uncommon,Slag,"- Kill an enemy relic, or - Kill an enemy Sentinel."
Attachment,Weapon,Common,Smith's Hammer,Overwhelm
Spell,Common,Echoes of Eternity [Set8],Soldrain Smithing,Draw a weapon from your void. It and each weapon in your deck get +1 Strength.
Spell,Common,The Flame of Xulta [Set7],Sol's Fury,Sacrifice a unit to deal 4 damage to an enemy.
Spell,Rare,The Empty Throne [Set1],Song of War,Your units get Warcry .
Unit,Common,The Dusk Road [Set3],Spark Hatcher,Entomb: Play a 1/1 Grenadin.
Unit,Uncommon,Dark Frontier [Set6],Stronghold Vandal,Shift 3: Kill an enemy attachment.
Spell,Uncommon,Dark Frontier [Set6],Tantrum,Deal 2 damage to an enemy. Tantrum has Double Damage and Overwhelm if you have a Shift ed unit.
Unit,Uncommon,The Flame of Xulta [Set7],Teething Whelp,Mastery 2: Flying . Mastery 6: +3/+3.
Unit,Rare,Echoes of Eternity [Set8],Tota Pioneer,"When you draw your second card in a turn, you get +2 power this turn. Pay 4 to give one of your other units +4 Strength and Overwhelm this turn."
Spell,Fast Spell,Common,Trick Shot,Give one of your units Overwhelm and Quickdraw this turn.
Unit,Uncommon,"Campaign
Dead Reckoning [Set1003]",Tripwire Grenadin,Summon: Deal 1 damage. Entomb: Deal 1 damage.
Unit,Common,The Dusk Road [Set3],Unpredictable Outlaw,"When you play a weapon on Unpredictable Outlaw, exhaust an enemy unit."
Spell,Legendary,Echoes of Eternity [Set8],Volatility,Draw each spell and Dragon with cost 5 or more from the top ten cards of your deck. Put the rest on the bottom.
Unit,Common,The Flame of Xulta [Set7],Warbrush Oni,Summon: Each unit and weapon in your hand gets +1 Strength.
Unit,Common,Echoes of Eternity [Set8],Yeti Cookmaster,"When you draw a card, Yeti Cookmaster gets +2 Strength this turn."
Unit,Common,"Campaign
Trials of Grodov [Set1006]",Yeti Pioneer,"Reckless When Yeti Pioneer attacks, you get +1 power this turn."
Unit,Rare,The Dusk Road [Set3],Yeti Sage,Double Damage Entomb: Create and draw Trail Stories.
Attachment,Weapon,Uncommon,Zuberi's Longbow,"When you scout, sacrifice Zuberi's Longbow to have the wielder deal 3 damage to an enemy."
Attachment,Relic Weapon,Common,Assault Shield,Summon: +1 Strength for each of your units.
Spell,Uncommon,The Empty Throne [Set1],Assembly Line,Play three 1/1 Grenadin.
Attachment,Weapon,Common,Backpacker's Machete,Summon: Scout .
Unit,Common,Echoes of Eternity [Set8],Burningcore Drake,"Flying , Reckless Mastery 9: Create and draw three Treasure Troves."
Spell,Fast Spell,Uncommon,Call to Arms,Warp Play a +1 Strength weapon on two of your units.
Unit,Rare,The Empty Throne [Set1],Censari Brigand,Charge Deals double damage to players.
Unit,Uncommon,Dark Frontier [Set6],Censari Dervish,Charge Pay 2 and twist Censari Dervish to exhaust an enemy unit.
Unit,Uncommon,"Campaign
The Tale of Horus Traver [Set1002]",Cinder Yeti,"Overwhelm , Warp Summon: Exhaust an enemy unit."
Unit,Rare,The Dusk Road [Set3],Coalscrounger,Your other Grenadin have +1 Strength. Entomb: Put a Firebomb into the enemy deck.
Unit,Uncommon,Dark Frontier [Set6],Coverfire Marksman,Double Damage Shift 5: Give one of your other units Double Damage until Coverfire Marksman emerges.
Unit,Legendary,The Flame of Xulta [Set7],Cozin Darkheart,"When you play a Dragon with a name you don't already have, create and draw a Treasure Trove. Mastery 3: Play a 4/4 Cinder Dragon with Flying ."
Spell,Rare,The Flame of Xulta [Set7],Draconic Ire,"Kill an enemy attachment, then deal damage equal to its cost to the enemy player. Bargain: Hit the enemy player with a Dragon."
Spell,Fast Spell,Uncommon,Dragon Forge,Draw a Dragon or weapon of your choice from your deck and reduce its cost by 1.
Unit,Uncommon,Defiance [Set5],Dune Painter,Your Amplify costs are reduced by 1. Dune Painter can't reduce Amplify costs below 1.
Unit,Legendary,"Campaign
Promises by Firelight [Set1007]","Endra, Champion of Shavka",Summon: Play Shavka's Song. Mastery 6: Play Shavka's Song.
Unit,Uncommon,The Empty Throne [Set1],Fevered Scout,"When you play a spell, Fevered Scout gets +2/+2 this turn."
Spell,Fast Spell,Uncommon,Fire Conjuring,Your units get +2 Strength this turn. Decimate: Invoke Fire.
Unit,Common,Defiance [Set5],Fireheart Recruit,"Quickdraw , Pledge"
Unit,Common,The Dusk Road [Set3],First-Shot Rioter,Gunslinger Ally: Play a +1/+1 weapon on First-Shot Rioter.
Attachment,Weapon,Rare,Flametail Whip,Charge Summon: Play three 1/1 Wild Cats with Charge . Sacrifice them at the end of the turn.
Unit,Uncommon,The Fall of Argenport [Set4],Frontier Bard,"When one or more of your other units hit the enemy player, Frontier Bard gets +1 Strength. Inspire: Units you draw get Overwhelm ."
Spell,Fast Spell,Uncommon,Funeral Pyre,Deal 2 damage to an enemy. Decimate: Deal 2 damage to an additional enemy.
Unit,Common,The Flame of Xulta [Set7],Gaudy Showman,Summon: Exhaust an enemy unit.
Spell,Fast Spell,Uncommon,Gilded Flames,"Deal 2 damage to an enemy. If a unit is killed this way, transform it into a Treasure Trove and draw it."
Attachment,Relic,Rare,Gold Mine,"At the end of your turn, if the enemy player took 3 or more damage, create and draw a Treasure Trove."
Attachment,Weapon,Common,Grandfather's Axe,"When the wielder dies, draw Grandfather's Axe from your void."
Unit,Common,The Empty Throne [Set1],Granite Acolyte,Summon: Play a +2 Strength Iron Sword on one of your units.
Attachment,Relic,Uncommon,Granite Ring,"Once per turn, you may pay 3 to give your units +1 Strength and Overwhelm this turn."
Spell,Uncommon,Omens of the Past [Set2],Grenade,Sacrifice a unit to deal 3 damage to an enemy unit and 3 damage to the enemy player.
Spell,Uncommon,Omens of the Past [Set2],Hipshot,Warp Deal 2 damage.
Spell,Rare,The Fall of Argenport [Set4],Honor the Ancestors,Draw a weapon from your void. Tribute: Play it instead.
Spell,Fast Spell,Common,Hoof Slash,Give a unit +4/+2 this turn.
Unit,Rare,The Fall of Argenport [Set4],Ixtun Merchant,Overwhelm Summon: You may choose a card from your hand to swap with a Fire card in your Market .
Attachment,Relic Weapon,Uncommon,Jawbone Hatchet,Spark: +2/+2
Spell,Uncommon,"Campaign
The Tale of Horus Traver [Set1002]",Kindle,+4 Power this turn. Spark: +5 Power this turn instead.
Unit,Common,Defiance [Set5],Lazy Firemane,Renown: Play two 1/1 Wildcats with Charge .
Attachment,Relic Weapon,Rare,Magebreaker,Spellcraft 2: Play Unexpected Results.
Spell,Common,The Fall of Argenport [Set4],Manufacture,Warp Create and draw three 1/1 Grenadin.
Unit,Uncommon,Echoes of Eternity [Set8],Markmaker,Summon: Play a +1 Strength weapon with Overwhelm on one of your other units. Corrupted 2
Unit,Echoes of Eternity [Set8],Fire,Markmaker Shade,"At the end of your turn, this gets -1 health. Pay 2 and sacrifice Markmaker Shade to play a +1 weapon with Overwhelm on one of your units."
Unit,Rare,The Dusk Road [Set3],"Milos Izalio, Heir to Rebellion","When Milos attacks while wielding a weapon, you get +2 power this turn. Gunslinger Ally: Double Damage ."
Unit,Legendary,Defiance [Set5],"Nika, the Freescaler","Pledge When an enemy spell is played directly on Nika, she deals 3 damage to the enemy player. Pay 3 to double Nika's Strength this turn."
Unit,Common,Dark Frontier [Set6],Nimble Conscript,Reckless Shift 1
Unit,Common,The Fall of Argenport [Set4],Oni Eulogist,Tribute: +1/+1.
Unit,Uncommon,The Empty Throne [Set1],Oni Quartermaster,"When you play a weapon, draw a card."
Unit,Uncommon,"Campaign
Jekk's Bounty [Set1001]",Praxis Outlaw,"At the end of your turn, if you have no cards in your hand, draw Praxis Outlaw from your deck."
Spell,Rare,The Dusk Road [Set3],Purge the Darkness,Deal 4 damage to the enemy player. Night ends.
Unit,Rare,Dark Frontier [Set6],Quake Titan,Shift 7: Deal 5 damage to an enemy.
Unit,Uncommon,The Empty Throne [Set1],Rakano Flagbearer,"Warcry , Warcry"
Spell,Fast Spell,Common,Rally,Your units get +2 Strength this turn.
Unit,Common,The Flame of Xulta [Set7],Razorwire Totemite,"Exalted , Quickdraw"
Unit,Common,The Empty Throne [Set1],Rebel Sharpshooter,Rebel Sharpshooter has Quickdraw while she has 4 Strength or more.
Unit,Uncommon,The Fall of Argenport [Set4],Refracted Sentinel,Summon: The enemy player plays a Sigil of their choice from their deck Depleted .
Unit,Rare,The Fall of Argenport [Set4],"Rika, Desert Navigator","When Rika hits the enemy player, the top card of your deck gets Warp this turn."
Attachment,Relic,Rare,Ruby Catalyst,"Once per turn, you may pay 2 to exhaust an enemy unit. After the third use, sacrifice Ruby Catalyst to play a 5/4 Sentinel."
Unit,Uncommon,The Dusk Road [Set3],Ruincrawler Yeti,"Summon: Kill an enemy attachment. When Ruincrawler Yeti hits the enemy player, it gets +1 Strength."
Unit,Uncommon,The Fall of Argenport [Set4],Rusty Grenamotive,"Berserk When Rusty Grenamotive attacks, you get +1 power this turn."
Attachment,Relic,Rare,Scrap Heap,"Your Grenadin have Charge . Once per turn, you may pay 5 to play a 1/1 Grenadin."
Unit,Dark Frontier [Set6],Fire,Shardling,Shift 3
Unit,The Dusk Road [Set3],Fire,Shattered Sentinel,NONE
Attachment,Relic,Legendary,Shavka's Lute,Your single-faction units have Warcry . Spellcraft 4: Play Obliterate. Pay 5 and sacrifice two units to play a 7/7 Dragon with Flying and Overwhelm .
Spell,"Campaign
Promises by Firelight [Set1007]",Fire,Shavka's Song,Deal 1 damage to an enemy plus an additional damage for each other Shavka's Song in your void. You get +1 power this turn for each damage Shavka's Song dealt.
Attachment,Relic,Rare,Shiftstone Processor,"When a unit goes to your void, you get +1 power this turn."
Attachment,Weapon,Rare,Shogun's Scepter,Warcry Summon: Play a 2/1 Oni Ronin with Warcry .
Unit,Common,Dark Frontier [Set6],Sizzleback Salamander,Berserk Pay 4 and twist Sizzleback Salamander to deal 2 damage to the enemy player.
Unit,Uncommon,The Dusk Road [Set3],Skycrag Huntsman,Pay 4 and exhaust Skycrag Huntsman to deal 1 damage to an enemy if you have a relic.
Unit,Common,Omens of the Past [Set2],Sparkbot,Spark: Play a 1/1 Grenadin.
Attachment,Relic,Rare,Stonescar Excavator,"Once per turn, you may pay 4 and discard a power card to deal 1 damage to the enemy player for each power card in your void."
Unit,Common,Omens of the Past [Set2],Stoneshaker,Summon: Reduce the cost of each unit in your deck by 1.
Spell,Fast Spell,Common,Streets Aflame,Deal 3 damage. Scout .
Unit,Common,The Dusk Road [Set3],Temple Raider,Charge Sentinel Ally: +2/+2.
Unit,Rare,The Dusk Road [Set3],Toppletower,+2 Strength for each Grenadin in your void.
Spell,Fast Spell,Uncommon,Touch of Force,"Give one of your units Double Damage . Then give a unit, weapon, or spell in your hand Double Damage ."
Unit,Uncommon,The Dusk Road [Set3],Tumblebang,Entomb: You get +3 power this turn.
Attachment,Weapon,Uncommon,Twinbarrel,Double Damage
Unit,Common,The Fall of Argenport [Set4],Warpainter,Inspire: Units you draw get +1 Strength.
Spell,Uncommon,The Fall of Argenport [Set4],Won't Be Pretty,Choose two enemy units. The enemy player chooses one to be dealt 6 damage. They play a +1/+1 weapon on the other.
Unit,Legendary,"Campaign
Trials of Grodov [Set1006]","Aika, Whirling Death","Berserk , Double Damage Ultimate: Pay 8 to play a +5/+5 Deepforged Plate with Endurance and Overwhelm on Aika."
Attachment,Relic,Uncommon,Ancient Defenses,"When you play a Sentinel, it gets +2 Strength. Summon: Deal 3 damage to an enemy."
Unit,Rare,"Campaign
Into Shadow [Set1004]",Arms Enthusiast,"Quickdraw When you play a weapon on one of your units, that unit gets Berserk ."
Unit,Common,Omens of the Past [Set2],Audacious Bandit,Spark: Quickdraw .
Attachment,Relic,Common,Barbarian Camp,Your units have +1 Strength.
Unit,Common,Echoes of Eternity [Set8],Bladecrafter,Summon: Draw a weapon of your choice from your deck. Corrupted 6
Unit,Echoes of Eternity [Set8],Fire,Bladecrafter Shade,"At the end of your turn, this gets -1 Health. Pay 6 and sacrifice Bladecrafter Shade to draw a weapon of your choice from your deck."
Attachment,Relic Weapon,Legendary,Bladerang,Double Damage
Spell,Fast Spell,Uncommon,Burn Out,Sacrifice a unit to deal 5 damage to an enemy.
Unit,Common,The Empty Throne [Set1],Centaur Outrider,NONE
Unit,Common,The Flame of Xulta [Set7],Cindermaw Tota,Your Dragons and Treasure Troves cost 1 less. Entomb: Create and draw a 4/4 Cinder Dragon with Flying .
Unit,Common,The Fall of Argenport [Set4],Clan Wallbreaker,Overwhelm
Unit,Dark Frontier [Set6],Fire,Clan Warrior,NONE
Spell,Uncommon,The Empty Throne [Set1],Cloud of Ash,Exhaust all enemy units.
Unit,Legendary,"Campaign
The Tale of Horus Traver [Set1002]",Crimson Firemaw,"Flying When Crimson Firemaw hits the enemy player, reduce the cost of the top card of your deck by 4."
Unit,Rare,The Fall of Argenport [Set4],"Criva, the Crimson Scythe","Charge At the end of your turn, put Criva into your hand. Summon: Play a 0/1 Sheep."
Attachment,Weapon,Uncommon,Doorknocker,"Double Damage If you have no units, you can play Doorknocker wielded by a 0/3 Helpful Doorbot."
Attachment,Weapon,Legendary,Dramatist's Mask,"Charge At the start of your turn, sacrifice the wielder to play a random unit from your deck, then play a copy of Dramatist's Mask on it."
Unit,Legendary,Defiance [Set5],Flamebrewer,"Reckless At the start of your turn, create and draw a random spell. Discard it at the end of the turn."
Spell,Legendary,Dark Frontier [Set6],Furious Compulsion,Your units get +1 Strength. Create and draw a Headshot.
Unit,Uncommon,The Empty Throne [Set1],Furnace Mage,Summon: Kill an enemy attachment.
Unit,Legendary,The Flame of Xulta [Set7],"Galai, Shavka's Listener",Charge Summon: Invoke Fire. Mastery 12: +3/+3 and Invoke Fire.
Unit,Uncommon,The Fall of Argenport [Set4],Gravemarker Oni,Tribute: Draw a weapon of your choice from your deck.
Unit,Uncommon,Omens of the Past [Set2],Grenadin Cannoneer,Spark: Put a Firebomb into the enemy deck.
Unit,Rare,Omens of the Past [Set2],Groundbreaker,The enemy player can't gain Health. Spark: Double Damage .
Unit,Common,The Empty Throne [Set1],Guerrilla Fighter,Warcry Summon: Exhaust an enemy unit.
Unit,Uncommon,Defiance [Set5],Hardsight Cyclops,Amplify 2: Exhaust an enemy unit.
Spell,Rare,The Flame of Xulta [Set7],Harmony of Flame,You get +1 power this turn for each of your units. Reduce the cost of each spell in your deck by 1.
Unit,Uncommon,The Dusk Road [Set3],Hellfire Oni,"Ultimate: When you play a weapon on Hellfire Oni, play an additional copy of that weapon on her."
